Time (minutes),Cumulative Cost
128,68036.00543197857
129,68605.12294882587
130,69147.5652653338
131,69723.68364781133
132,70252.14646111512
133,70804.1707218384
134,71362.19576193926
135,71898.21273214747
136,72459.68526198866
137,72999.93798612223
138,73535.1751403665
139,74070.04170248396
140,74641.67718842403
141,75196.64771125163
142,75731.97377299107
143,76274.95639591297
144,76853.52999804243
145,77393.30758990873
146,77919.98721857615
147,78498.23868323523
148,79070.39484415985
149,79618.04708573282
150,80154.68638214585
151,80704.3070632557
152,81278.29926521778
153,81817.19821152954
154,82384.3909928012
155,82938.23107214992
156,83488.80284289806
157,84041.88735410632
158,84585.68298122658
159,85122.28585200416
160,85697.28001313379
161,86254.78660964509
162,86813.40538586413
163,87385.66187370423
164,87939.09649271317
165,88476.97150955597
166,89006.95337225056
167,89508.76975957041
168,90035.52846338136
169,90564.13256747824
170,91085.1753134811
171,91585.27518002955
172,92099.5173326916
173,92627.743953811
174,93137.27316197728
175,93637.2003726555
176,94158.48386286874
177,94681.10121842369
178,95208.14941010381
179,95754.07253324304
180,96297.26552512714
181,96857.85568684038
182,97385.26204161959
183,97904.50317252525
184,98452.81763420881
185,98991.88070568268
186,99540.46302925792
187,100094.28027151653
188,100631.76257370076
189,101193.64570435624
190,101751.42409574318
191,102326.70953622536
192,102856.51011712728
193,103431.57596537903
194,103979.48531981627
195,104526.68084569152
196,105039.01260006482
197,105604.20493180776
198,106158.8139349627
199,106687.10083594032
200,107226.85564115777
201,107772.43066881262
202,108347.94637873892
203,108891.02465382479
204,109460.43121116924
205,109990.67313629546
206,110558.30757784512
207,111103.98973565029
208,111656.86048721714
209,112223.39760478005
210,112763.88249721646
211,113320.42367900662
212,113876.18472826504
213,114429.27183156282
214,114985.28571151073
215,115559.49586592698
216,116134.23942511239
217,116751.93703148077
218,117391.15667329848
219,117998.60359977347
220,118600.32020588311
221,119187.1083945907
222,119791.81796065003
223,120382.86281051117
224,121009.10940307248
225,121661.12014901094
226,122286.02716915932
227,122883.67335870126
228,123522.80822283194
229,124128.72243328666
230,124754.65416341425
231,125402.81122129707
232,126023.05427135163
233,126622.59746122385
234,127240.91598978659
235,127843.48223908087
236,128444.11448622045
237,129057.6719293012
238,129680.16297413042
239,130300.38232026719
240,130900.32136026696
241,131498.82364517986
242,132134.16818659074
243,132737.66976925745
244,133342.88019875422
245,133932.7920020526
246,134542.49175414103
247,135146.64866394547
248,135745.8867902045
249,136360.36073024228
250,136977.8471585138
251,137605.7966264216
252,138232.72203625322
253,138860.22568005213
254,139448.73458932352
255,140082.65014523483
256,140685.05974574675
257,141310.21394696156
258,141934.8354083666
259,142565.96965156356
260,143185.80735209034
261,143796.92867954675
262,144412.99083390465
263,145003.48308389902
264,145647.42559668113
265,146270.95535175016
266,146933.75362033318
267,147557.28534642508
268,148162.70520790401
269,148758.93238569453
270,149384.70582751025
271,149989.68807930767
272,150612.68653831873
273,151251.1833901099
274,151845.53673599882
275,152486.72637149232
276,153158.76721361955
277,153801.3110209317
278,154514.10858617205
279,155213.20705961535
280,155921.73618896317
281,158624.80093379226
282,161554.94649147594
283,164025.66755547706
284,166775.07064421603
285,169806.30695615098
286,172834.3874635763
287,175448.54176987748
288,178134.5213702646
289,180835.2735407539
290,183593.06953788546
291,186470.93489956742
292,189473.0987098118
293,192316.30622679347
294,195191.54212217152
295,197801.35303661152
296,200494.27337248717
297,203327.8104146962
298,205937.2148095675
299,208712.62867921218
300,211787.08769686433
301,214615.39525068123
302,217663.09056352166
303,220700.22225731352
304,223616.13942835634
305,226541.8917903363
306,229533.15593018496
307,232578.56988062116
308,235373.31582107552
309,238269.52105604764
310,240978.1620914922
311,243653.9416688299
312,246134.91816806165
313,248866.59409081808
314,251994.26955104162
315,254842.77630618235
316,257590.61358287185
317,260437.08739775416
318,263330.3057967872
319,265889.96416172694
320,268748.38335942436
321,272141.78545691347
322,274789.2953851345
323,277653.64996183943
324,280443.359057745
325,281147.6747761213
326,281820.6469506158
327,282484.6397784366
328,283193.9551529495
329,283866.62469802395
330,284512.7753549085
331,285157.8238660351
332,285834.5158060914
333,286499.6126148485
334,287166.43401458865
335,287746.8592446893
336,288353.5865813997
337,288940.0919737836
338,289544.22385119856
339,290138.56140257476
340,290732.4327086751
341,291311.4799183907
342,291936.7687337451
343,292522.7092021984
344,293134.34520525136
345,293701.26239318977
346,294255.5124281685
347,294823.6652281217
348,295418.4218401451
349,296064.3863457088
350,296713.9805999121
351,297401.3338595659
352,298096.4982363488
353,298778.08906532684
354,299445.589550398
355,300103.56135119055
356,300767.4449850537
